,SK_ID_CURR,TARGET,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,TOTALAREA_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,AGE_YEARS
SK_ID_CURR,1.0,-0.021749844790436342,0.004190069735498793,-0.0052298469481711655,0.014598737242336578,-0.0024049365888345778,0.012824764646129519,0.0033156074380775507,-0.00034804362362297225,-0.001944092215558634,-0.02058187027446481,-0.01976563926154024,0.029917121003350023,,0.00232172429972542,-0.014297892126458859,0.003991294055366476,0.013192578757256834,0.023736654393538188,0.0065941476655346125,-0.002155327836597943,0.0002745006437602451,-0.005092642584076348,0.0034241077676371396,-0.0026059448234164806,-0.008032960299339026,-0.022199768182798105,-0.0390713247779053,-0.02032569397302967,-0.02133791237918098,0.001970984050127138,0.007627534117550953,-0.011196294177045422,0.005241700492359491,0.0018468535321217053,-0.023516381445461965,-0.04679581964659599,-0.011287943366418142,-0.020638021849694974,-0.007090697564589654,-0.016566158238738256,-0.00456577952443907,-0.011855806309327291,-0.012523684289927863,-0.04270530845135369,0.009260404795595235,-0.007620384737731839,0.0062568014640577855,0.011503759065559475,-0.025250333965749636,-0.052390597451353674,-0.012745551087914236,-0.016634253285730358,-0.009714419845740932,-0.019632995023994796,0.0006972504812567238,-0.016563732439389797,-0.006697778376628075,-0.04567047616707877,0.0146933454379339,-0.01056507200777311,0.006239639512309696,-0.0008076826842765251,-0.022912333361119537,-0.04543388733644673,-0.011576636134917963,-0.020482434493839068,-0.008215873389924197,-0.01572475395531666,-0.004028542034152218,-0.010474373545602392,-0.012368571419516566,-0.045697769542783664,0.006943771655221707,-0.0090008313734686,0.003325247364556845,-0.005994230663267785,0.0034283969480683528,-0.0009235340728504773,0.0037896062873743943,,-0.0017537345395899793,0.01215498960084334,0.013988929145424416,0.004373259619370781,-0.016882052313572187,-0.0006567735516734108,0.001911034056639439,,0.012536410606647046,-0.016693914357562633,-0.004836538150011517,-0.011274911222943865,-0.010268608914867557,-0.02732920571517683,,-0.008244587266747237,-0.016899781189492917,0.0006047915390982356,0.00341294900823121,0.014160183929853893,0.005794270030900285,0.015909841290591517,0.004267046073178593,0.015544082199379838,0.004760971899829862,0.00029075208026402294
TARGET,-0.021749844790436342,1.0,0.03048480873600888,-0.03647688873834457,-0.012643686459660245,-0.0007590533903359186,-0.022631979639637517,-0.045160704677350456,0.09788476019797429,-0.05087891372837037,0.06097074713993188,0.054502831394140035,0.07137218558010394,,0.05227828196772261,0.00867062802193974,-0.006201931939806899,-0.03325598188469711,-0.024879066462203236,0.010592728009454606,0.06903595423201365,0.0694960445315503,-0.007950608638979334,-0.006156141443076489,0.0062140484809051965,0.01061952019160681,0.043952104703917916,0.06274907458550252,0.03364163602715302,-0.15780396023138876,-0.1642975137095007,-0.16744246970053073,-0.019429412958104814,-0.007238275607877474,0.005931766889211269,-0.030832789012914967,-0.025079672358421325,-0.042011612297965205,-0.011506328501937701,-0.03637953304472481,-0.02473962546480364,-0.019273799028218443,-0.01855955343884074,-0.027548240838754994,-0.02728439560579885,-0.014093983247363594,-0.01167357818554291,-0.003016062140144287,-0.006717858950857352,-0.028787958003219326,-0.026947051708963218,-0.042283826484918206,-0.0004988422210758467,-0.03578832295400885,-0.022121630427180634,-0.014249182179278308,-0.013052278758226335,-0.017673197916417627,-0.026921578793425088,-0.02008653727039785,-0.017634699300401915,-0.006313899293448149,0.013798933086966135,-0.03022170587656016,-0.022521137503850205,-0.04733083955830044,-0.009198657709268487,-0.03673460409053312,-0.022745286650824044,-0.018504601115597978,-0.017198531084167863,-0.024535639068006904,-0.02650172355864091,-0.011867199004718863,-0.031098884197326152,-0.009501590749481136,0.015564667639585418,-0.009112421906893575,0.019296326749603125,0.08094149164119113,,0.05879472587655294,-0.005994511191437545,-0.018658295362545357,-0.035727799038261045,-0.004238335531416252,-0.021874994965827562,0.0011264793528183146,,-0.011552828375785702,-0.0042383355314162515,-0.02037121822004981,-0.01801238803903664,-0.013414875010061545,-0.016381035990615304,,-0.0004141489017990746,0.013531136318415817,-0.005994511191437539,0.022360113311710294,-0.012573588399528126,-0.01961006488266353,-0.0063371026880940165,0.005327709891295185,0.0031377776847136543,0.017043323752244623,-0.09753318956863326
CNT_CHILDREN,0.004190069735498793,0.03048480873600888,1.0,0.004268434670659746,-0.008914059470604354,0.0031494528601015218,-0.015656963099748646,-0.02923222327091358,0.33911972072122876,-0.24189109875866818,0.18216751810546813,-0.021342038189851174,0.03746000595703289,,0.24273884772123133,0.06187594573990397,0.016760447682678745,-0.03242058302562247,0.008053608040541053,0.8811663555957567,0.024526218712801487,0.035745802078488244,-0.012781461222880663,-0.026119354496361654,-0.014728084483969348,-0.006765807742277887,-0.003183696582997575,0.05290648101941349,0.06042335565562551,-0.14832792281925034,-0.012452308171404924,-0.028681161784781514,0.023417184556870273,0.0477220223411383,-0.0227414788419226,0.02359538617105425,0.018371354804270417,0.018109213663038255,-0.012522752651642313,0.007206263919357465,0.02144871028419728,0.04629442457100451,0.041628876283760836,0.015629671795657017,0.0015808898562624835,-0.0018801183418089816,0.028002763456505854,0.05505695665308848,-0.0078004025415845295,0.023151628924886727,0.030664288736331397,0.02720773684698982,-0.006967217743663945,0.008318124230311032,0.026396176782291992,0.054306922210416546,0.04999175716212932,0.022786037043815616,0.0040091484560953895,-0.0006959178264420587,0.02179332377755105,0.04754760206778633,-0.021711004647180242,0.02292193806233652,0.020269821217129485,0.018756349559509677,-0.0144156967759131,0.0066458194227371516,0.022255626990286125,0.046723653765408525,0.04297507422337941,0.013135327522709092,0.0030259091009238732,-0.006044303094915971,0.029418920097466935,0.02661104942238958,0.012174096172086373,0.02601913476339432,0.02796761498191916,-0.01315662812084417,,0.06455954708837724,0.0019019579109909946,-0.011038009814042005,-0.1548835534520623,-0.00834366803632125,0.03893797509384689,0.004438810646654092,,-0.03122236158759445,-0.008343668036321248,0.012537352238797973,0.019439881727029727,0.028788389644248704,-0.0010565909548371374,,-0.009374436021637088,-0.0013263655766549995,-0.011800908882892132,-0.0032650854015039013,-0.011886829176819207,-9.900244495057602e-06,-0.004687773261018775,0.005232483894868118,-0.01813591443388982,-0.05461816677379769,-0.339041111586177
AMT_INCOME_TOTAL,-0.0052298469481711655,-0.03647688873834457,0.004268434670659746,1.0,0.3653025093466568,0.4610743456858216,0.37297511012281664,0.17039662659256122,0.04174549729447223,-0.15740017612832394,0.06414246426323732,0.009223406222399647,-0.14158159371805976,,0.15682045952643686,-0.02687725794039319,-0.011708306981337268,0.009387613668210644,0.0871822697778546,0.020593561791645672,-0.18727370653906497,-0.2053206332218976,0.067442338879286,0.08957633376429928,0.13703196681203408,0.11990128660823599,0.0025074413045289815,0.0178383459426139,0.023245848170279967,0.11188785897425087,0.1583342989483398,-0.08439382877896018,0.13828087278575693,0.07728315351094019,0.02605785712739925,0.06302610965810994,0.11836868295455591,0.1687289989641557,0.01945157797873178,0.21417202322227333,0.15770702820794,0.03716964585244566,0.1667150167188571,0.16915895180683754,0.02891065726737141,0.054796130646026044,0.1322504644704405,0.05922112359372057,0.01655089819023381,0.055754002988125946,0.10979722764751382,0.16336130610472857,0.010201885896264926,0.2066629996955639,0.15190099323093614,0.023360716418794638,0.159759161540718,0.15530112734923324,0.022220136006146012,0.04782043757278333,0.1383792591848583,0.07829519115153197,0.027846133307373927,0.06307083770969335,0.12172372740460875,0.16832428842383343,0.019542665280136717,0.21283835589542827,0.1573268068654813,0.03644585280007546,0.16869093824584058,0.1686097137646794,0.025391935971679994,0.05544602908564811,0.15200721259150685,-0.028792208838043187,-0.03148700593309157,-0.028867705113352793,-0.02476414315835155,-0.06198830640017885,,-0.03283541310398944,0.01432096396382073,0.007072231685063705,-0.11723579892227956,0.027053851120833968,0.17479828161385136,0.016978249135957683,,0.02033928814318589,0.05899425354949137,0.04853360631453097,0.054796189109576364,0.03184611717201575,0.045431677037089,,0.00114201822410626,0.005359451460184009,-0.014229679605517472,-0.011047677329119343,0.005351440480482446,0.020876030015505292,0.007320400273149283,0.08959377763563595,0.009088601565560572,0.03940416597646856,-0.041838483608401617
AMT_CREDIT,0.014598737242336578,-0.012643686459660245,-0.008914059470604354,0.3653025093466568,1.0,0.7747941796132309,0.9873208388445355,0.1020392783222358,-0.055824687547500494,-0.06723877964316044,0.03653260702398368,-0.011825988045956722,-0.09686079193609114,,0.06598750058837892,-0.01272344623974293,0.029391899063618436,0.019571332824168293,-0.004859768966833715,0.049018982247795995,-0.08506093935607366,-0.0929548698448273,0.05115144609463956,0.025252330267455013,0.03656027324743342,0.034577845633272875,-0.01718311834976462,-0.0022355679738607307,0.007798015182097088,0.16127674048839763,0.12892897900737257,0.02176109435947389,0.0660100759957612,0.05158547291772352,-0.011905101361980967,0.022998773638500707,0.052463111190010986,0.07403346102779684,0.031245188920944977,0.0752737962341124,0.07754225569435232,0.04520856590619054,0.07934615551976477,0.06580847228973924,0.006822517010468878,0.024969862219454683,0.05738495400257883,0.04250093796369313,-0.025492361490493817,0.02320076267874415,0.04750372753559051,0.06470803209564314,0.025006699837295344,0.07779681077751399,0.07827135095021091,0.034768044225472194,0.07135299931377698,0.05657440825775019,0.004414315429063457,0.022042395897807297,0.06250383624750841,0.0492346619271782,-0.009438528371068811,0.022990717020815045,0.051771410399485136,0.0678660678319674,0.029097796690394306,0.07545344970831708,0.07759857002278184,0.04171236976327889,0.07926374627254165,0.06212232956198733,0.006013090984288233,0.02687421035533291,0.061250746827275965,0.0008310948968452316,-0.029168363828216918,0.00042238099896031625,-0.031281518278357436,-0.07219547414359574,,0.08004520072704746,0.029138598918658068,-0.004338495812572623,-0.028863776658596484,0.00569287029347036,0.07215886846856907,0.0179214108057132,,0.026701572510496447,0.03172677841015444,0.027066842220743816,0.04615732203561731,0.03215726018715639,0.05268281680255171,,0.009642149369637042,0.0035261604186156053,-0.004689580888548579,-0.025747807203834516,-0.002591130468640244,0.004888643364500752,0.009107547170959927,0.07228408908300228,0.021287730402116796,-0.04099873713070562,0.05554950195758492
AMT_ANNUITY,-0.0024049365888345778,-0.0007590533903359186,0.0031494528601015218,0.4610743456858216,0.7747941796132309,1.0,0.7777455076753972,0.10627385840604656,0.013795822509128667,-0.10656841619817364,0.05592414563075887,0.007217017622348195,-0.09995604088509576,,0.10608592149502483,-0.021189980245942965,0.025168247556209264,-0.002471051743582401,0.05200190071500182,0.061226492052641315,-0.1108452352197775,-0.12096102093559315,0.0341901361630315,0.04853927691103073,0.08289473124378137,0.07572147208432853,-0.002306263949727553,0.01314486907170236,0.018186450107435498,0.10212713431070297,0.12266513222200948,0.020632240652720624,0.06457196963503183,0.04038565033657005,-0.0037723361542037676,0.017056616334915137,0.04386147251701225,0.08549488763098466,0.017718762751367703,0.11144337663586144,0.10260188275656842,0.033237085725388825,0.07554380741233908,0.07666954290782739,0.0051346647857710625,0.012256363419488223,0.05847564940759371,0.034381858779826406,-0.018977928238106314,0.017006070054279083,0.04491941242459068,0.08014388512882387,0.013723017342803607,0.1131503993079413,0.10189112367652077,0.023659497308930487,0.06907446391670971,0.07165369875554355,-0.0001833300736546604,0.008875814774773533,0.06299177046356386,0.03966848635948911,0.0018412592360680586,0.015757902433434116,0.042518380664486696,0.08263813807917814,0.01782031236450314,0.1098148802171949,0.10016350652903704,0.03117623043371508,0.07554211273018573,0.07524746779306189,0.00224378294132884,0.013592816206549629,0.060667543530691675,-0.008091744421707608,-0.03576810067492137,-0.008654910060940702,-0.03442445096512037,-0.05950040065506239,,0.09161429026330464,0.0464425894551903,0.004286329883820986,-0.06004970746834635,0.04776704608773746,0.1182898100356874,0.01634792297406041,,-0.015253664345868688,0.012429370940527453,0.012605087495984942,0.02311214818727075,0.005959693583888587,0.012484465247737307,,-0.0226740357735533,-0.011626029114882162,-0.01509496345375506,-0.031007891321074354,-0.002636412948548796,0.0018794050338877906,0.02951590051281173,0.05506391887093113,0.009006797626663064,0.0067646343631367865,-0.014140138578707096
AMT_GOODS_PRICE,0.012824764646129519,-0.022631979639637517,-0.015656963099748646,0.37297511012281664,0.9873208388445355,0.7777455076753972,1.0,0.10657612640177981,-0.0552134824025408,-0.06326385665010939,0.037541048837646765,-0.016919921548104403,-0.10346653517993296,,0.06203650415947797,0.011851628306313191,0.027263519335946073,0.03156075715511333,-0.003910467246270612,0.04246882378884724,-0.08904808184826946,-0.09633059912535967,0.059827635516851344,0.02342704923474899,0.039615364877646,0.038728576874126355,-0.01723948324558477,-0.0015261449715310575,0.007089799356165187,0.1667420419959772,0.13527746044961375,0.02707426926189793,0.07103983891339463,0.052754446712681445,-0.010926384975182949,0.03175887215701663,0.056290724543889045,0.07741066859588476,0.029964459620740333,0.08257851624466547,0.08510741323809835,0.04867705537539184,0.08156631646768309,0.07013515576642727,0.0015769979314236363,0.02945484953048226,0.06211853197424068,0.04384203308001104,-0.025463648262836595,0.03240257883513182,0.051928115509358774,0.06866371667141531,0.025560641437417115,0.0839727293710358,0.08512152919692435,0.03831735444545253,0.07437667055165256,0.06071981870140146,6.11503023452466e-05,0.026665531896975278,0.06780226233962293,0.05096223562989175,-0.008743107608141313,0.03157218016426677,0.056077139510733606,0.07187765292572845,0.028238489664566106,0.08194756812805298,0.08487310081730307,0.04484335006431817,0.08194191411601841,0.06681209175977931,0.0008902291629268506,0.031456381525272116,0.06343537710681331,0.005692028288462698,-0.02549410325856908,0.005038423500412088,-0.02828538454452101,-0.07442482572180792,,0.05794616348726306,0.035164155639425716,0.0012801421456749868,-0.029566599667076407,0.008564282229963938,0.06984529086055447,0.020335992488755904,,0.0328532509160138,0.0309207581180371,0.02933323591826615,0.04453646984726062,0.03142836248887596,0.051985074178659656,,0.005552782078435842,0.001215245211669581,-0.004300496769175529,-0.02409066493641801,-0.0006444959370411042,0.0041211387932204545,0.010252330569234325,0.06718458251240998,0.021616021162954923,-0.04244563358765588,0.054852325475577404
REGION_POPULATION_RELATIVE,0.0033156074380775507,-0.045160704677350456,-0.02923222327091358,0.17039662659256122,0.1020392783222358,0.10627385840604656,0.10657612640177981,1.0,-0.055034106774324625,0.01012432379530857,-0.07240632671693135,-0.018287530089255898,-0.08257228630100234,,-0.010183628249438833,-0.004176270313456193,-0.004678985924586548,0.11335520300412703,0.06817224312613544,-0.020633924396110292,-0.5438460994478397,-0.5448408915758012,0.16991552563142454,0.04087263941444958,0.08926305801312744,0.10594017486055074,-0.04576116082113195,-0.05022197293352221,-0.02340265608833463,0.13026557684704432,0.19848637392673052,-0.01928681489560882,0.2038084011357937,0.11376700101293226,-0.015535344058735766,-0.07458912471619124,0.2403322897754293,0.29203236866268434,0.030045340355260255,0.3325838363949855,0.2982815716317789,-0.033763533769866384,0.19928272803687844,0.22107145804044143,0.013213029550493263,0.06891179925153061,0.17430665617737454,0.07478155151726493,-0.01042406306512088,-0.0751854492729135,0.2011287528477623,0.26802099722385286,0.009620480797480974,0.31709002680730386,0.2891332732668903,-0.059892352239565766,0.16389930923735804,0.18468897839358714,0.0028624627148527274,0.04679449369644364,0.19776714166331236,0.10802128615831956,-0.01796935173719238,-0.07611204797745603,0.23534963186708338,0.28824165981817934,0.02716416013241787,0.3234407039348241,0.2940875211957964,-0.03758487949263256,0.19521139901489656,0.21546202555499966,0.006908833993120694,0.05805901528092016,0.18439321186840837,-0.021677764535803043,0.02022521263943434,-0.021425355669567533,0.010278941237065827,-0.038446580208750435,,-0.09710463233763048,0.0006505841700840476,-0.005096664230507877,0.03607011581980035,0.024800354887151918,0.10331083484573302,0.05373380835686554,,0.02555274079233695,-0.010041204623261909,0.009827815268778914,0.05900743350258495,-0.0014037919567176725,0.005717672716153105,,0.01624808698656384,-0.008577142340710527,-0.004905703963519929,-0.0008818639979653732,0.014637421580605247,0.02896629228496253,0.01257684951987111,0.11188502857443554,-0.00017168033350433391,0.016619542292906582,0.054556774932998965
DAYS_BIRTH,-0.00034804362362297225,0.09788476019797429,0.33911972072122876,0.04174549729447223,-0.055824687547500494,0.013795822509128667,-0.0552134824025408,-0.055034106774324625,1.0,-0.6223060257338656,0.33085651672295097,0.28418078145386,-0.004926403117634991,,0.6264916257780109,0.18141419885725898,-0.023054488850912908,-0.03371466189589595,0.08267000338986809,0.2920691727435925,0.024927939337979092,0.02609014015101472,0.0820072360428146,0.054514930223401856,0.05635440715434122,0.03998056168567925,0.17334287757664707,0.22378213199927613,0.15137744295553224,-0.613598085078009,-0.10423450688253828,-0.19243224595911793,0.004326457206894154,-0.022252481386755597,0.0016795872116463697,0.01829776190490309,0.012449896053525847,-0.0036282707674524673,-0.01323087088850262,-0.008517473699050267,0.02916074623658388,0.009138373792174359,0.013777078367564147,-0.0001462223398968714,-0.02125819390203726,0.006520184735946539,0.0032611783956966876,-0.020902636424767456,0.00969916295759325,0.014925278280271608,0.010512909846991625,-0.0018397451402291213,-0.01005529378718103,-0.008834579407531813,0.024374416142436368,0.010007836707486164,0.013978500551283817,-0.0017421887962267555,-0.02093338268413381,0.0024079192559450092,0.002808511584473105,-0.022460266379272977,5.375625757162839e-05,0.01920606218320685,0.01607997665403751,-0.005394425480663368,-0.015108885439004351,-0.008334076251192665,0.030872407359892662,0.008472560473488037,0.014484512293036699,-0.0020494240543829,-0.019697131509506742,0.0018668478976505668,0.006716217051646768,-0.00905809896704581,0.018667273456992633,-0.009985604702682064,0.03496762371130262,0.07660953846104987,,0.10033305704818088,0.003513749686712946,0.04170048988403133,-0.4026040459094022,-0.019947969225211453,0.11378095017112072,0.010911115900129477,,0.05287814080318445,0.00046852183308057394,0.03863648636613034,0.03228547494753125,0.04043012378146808,0.034020458951139504,,0.04656310570579936,0.0068910577882356095,-0.014499043429882869,0.03148198776808485,-0.015332749853009454,-0.0263583340557773,-0.0052238609010806306,-0.005628649540925209,-0.020071053995861666,-0.08007936339361531,-0.999720035061704
DAYS_EMPLOYED,-0.001944092215558634,-0.05087891372837037,-0.24189109875866818,-0.15740017612832394,-0.06723877964316044,-0.10656841619817364,-0.06326385665010939,0.01012432379530857,-0.6223060257338656,1.0,-0.21226666609878433,-0.2786532573766438,0.03937242184824892,,-0.9998839313801969,-0.23048996895501278,0.01823124171669987,0.020551021252528993,-0.04439164618328895,-0.23626921703347165,0.018162324713284463,0.017629854697568288,-0.08483768003598026,-0.04215075321437924,-0.10094090501921528,-0.08976253080063273,-0.09796804345387582,-0.2518163207207545,-0.21840146697819346,0.3079969736663834,-0.02639237846896281,0.10846899176373154,-0.017558233580605844,-0.004497653601563315,0.02859270320011783,0.010166929373376841,-0.015158676039067544,-0.013623982538808619,0.003258618677231562,-0.015066192170890056,-0.04919329324905216,-0.036310025254811015,-0.02647808409015682,-0.015291790246419749,-0.026817705018688475,-0.043805422319702705,-0.01847885704481333,-0.006762644468716112,0.029376201005611353,0.01166898088552097,-0.01731527849145742,-0.015580543206382058,-0.00431436409680774,-0.019762131459803305,-0.049022438663882256,-0.036316752097354826,-0.024770406732838382,-0.017610025919431224,-0.025349570918452663,-0.04347113261475039,-0.01815781223012893,-0.004004590049661585,0.02606285812460546,0.010249762698918207,-0.01446482363511658,-0.013406034211242882,0.004150135941638332,-0.01711280884604191,-0.05107043311452068,-0.03835790593647329,-0.026183040733269825,-0.015579576776023457,-0.025511193649855643,-0.04349055517788416,-0.014425042739466286,0.028709997210758717,0.007960578111613957,0.029719599686234527,0.005285330027288088,0.024510146124235417,,-0.24477604107796352,-0.00898692313010857,-0.04341571430570096,0.5864376879363162,-0.00667052156960843,-0.11662707234252576,-0.03135826319650076,,-0.0331544947429402,-0.007071548120670065,-0.03106610989402543,-0.027692145986336618,-0.020621913643738037,-0.047309786808898295,,-0.040019747532365285,-0.014641502807363694,-0.00920945306984929,-0.011123783215023835,-0.009325785262035103,0.004900994812331467,-0.029071494922427457,-0.04974287620637068,0.01618847637971887,0.038833797072627935,0.6225387938096958
